feature,feature_group,mean_abs_shap,mean_shap,median_abs_shap,importance_share
brand_median_engine_cc,traficom_brand_context,1.6980059547515438,-0.6734877952764043,0.7232021506430828,0.004175631379788282
model_firstreg_peak_year,traficom_model_context,1.4550068814251909,-0.563543645960317,0.6452631536532135,0.003578063065612692
brand_hybrid_share,traficom_brand_context,1.3890129907924957,-0.46151838653570193,0.5903845372825891,0.0034157749653683563
model_hybrid_share,traficom_model_context,1.3802554329239256,-0.5068464046596001,0.5755263920667494,0.003394238919900445
model_firstreg_weighted_year,traficom_model_context,1.3397137666094652,-0.4849811955389698,0.5124224132469681,0.003294541357840754
model_mean_mileage,traficom_model_context,1.2973079857459615,-0.47153182756406353,0.5301356340474013,0.003190259680404599
brand_firstreg_peak_year,traficom_brand_context,1.2793852756279982,-0.5482935738063416,0.5015817774392235,0.0031461852585393545
model_median_mileage,traficom_model_context,1.2452828543600591,-0.5091127690931646,0.44700857836203794,0.003062322690228161
brand_firstreg_weighted_year,traficom_brand_context,1.2324874506336962,-0.41441696631619923,0.501821875338428,0.003030857023592923
model_firstreg_recent_share,traficom_model_context,1.1439042805572368,-0.45153652896736296,0.41306691357043746,0.002813018762391707
brand_firstreg_recent_share,traficom_brand_context,1.0127964878792262,-0.4517583541869223,0.2851567094927304,0.0024906065754914655
model_petrol_share,traficom_model_context,0.9464840317436792,-0.31361653260646594,0.440297507281648,0.002327535078636238
brand_automatic_share,traficom_brand_context,0.8993670699138985,-0.33067075764481224,0.4019162302179029,0.00221166795591728
brand_diesel_share,traficom_brand_context,0.8792031305006016,-0.34463898413659005,0.34224812249274694,0.0021620820413810545
brand_turbo_share,traficom_brand_context,0.838818987249477,-0.2754313299554055,0.3688402059697546,0.0020627718503105318
brand_ev_share,traficom_brand_context,0.7835026131158759,-0.2975479878878387,0.2830689264695684,0.0019267412392269731
brand_median_mass_kg,traficom_brand_context,0.7194343109355366,-0.22236186375649847,0.23618919319578707,0.0017691884271856704
model_median_mass_kg,traficom_model_context,0.6743253576681496,-0.22568954169861258,0.28790138724471037,0.001658259275114313
model_firstreg_old_share,traficom_model_context,0.6701617886555268,-0.1766814955287443,0.2945890011575102,0.0016480204833289416
brand_median_power_kw,traficom_brand_context,0.6599697490807156,-0.2357677459258899,0.3478202509280527,0.0016229568490386528
model_share_within_brand,traficom_model_context,0.6424213641677503,-0.2404981379504654,0.2982191063546634,0.0015798029446002534
model_turbo_share,traficom_model_context,0.6383735897266136,-0.29126762866497347,0.1933883984010754,0.0015698489076739293
brand_firstreg_peak_count,traficom_brand_context,0.583382928406113,-0.21327004828951013,0.24641136368300068,0.0014346192694252278
model_automatic_share,traficom_model_context,0.5739713925869707,-0.2625937009000877,0.1863958607861423,0.0014114750017691334
brand_mean_vehicle_age,traficom_brand_context,0.5566008483745266,-0.19632359176878958,0.24933470810872677,0.0013687584321985075
brand_firstreg_total_2014_2026,traficom_brand_context,0.5330010314543943,-0.18043203354076,0.2181423000576615,0.0013107232198877343
brand_total_registered,traficom_brand_context,0.5154200840450927,-0.19803541484858334,0.2600643782215775,0.0012674892397693141
model_diesel_share,traficom_model_context,0.5061193481723829,-0.1563743031550038,0.24052880493705742,0.0012446174444987893
brand_firstreg_old_share,traficom_brand_context,0.5018929333829371,-0.16476718441403607,0.1432199790499726,0.0012342241062602353
brand_share_over_10y,traficom_brand_context,0.4757488449750554,-0.17184308473732518,0.20379346506146248,0.0011699321786339371
model_share_over_200k_km,traficom_model_context,0.47141850188507617,-0.18831386515460796,0.15394348422392795,0.001159283266337035
model_mean_vehicle_age,traficom_model_context,0.4686239883515583,-0.14748441818614766,0.1887438565535558,0.0011524111712368104
brand_petrol_share,traficom_brand_context,0.44739367939804603,-0.19810051325398711,0.16595873371043124,0.0011002029065833115
model_total_registered,traficom_model_context,0.44701603574410453,-0.1804816070232498,0.15692640204710187,0.0010992742286317627
brand_median_vehicle_age,traficom_brand_context,0.4416848146420964,-0.17725435778882598,0.20220730232074857,0.0010861640189391284
brand_median_mileage,traficom_brand_context,0.43403379139821024,-0.15533517164038793,0.20511865960339493,0.0010673490950837317
brand_share_of_market,traficom_brand_context,0.425863341064803,-0.1246913922501416,0.15674886329499715,0.0010472568282081606
brand_mean_mileage,traficom_brand_context,0.3670688669952014,-0.13318233379164343,0.1335057361438885,0.0009026730885597919
model_firstreg_peak_count,traficom_model_context,0.3647568028413191,-0.07081660748321414,0.12046611932348242,0.0008969874031792319
model_share_over_10y,traficom_model_context,0.3609572737714235,-0.07967685874713704,0.06335295166260038,0.0008876438359389184
model_firstreg_total_2014_2026,traficom_model_context,0.35924495796310896,-0.10744707937872362,0.097366922197416,0.0008834330146509848
model_median_vehicle_age,traficom_model_context,0.3276071159743889,-0.11386986833481146,0.1154208716514404,0.0008056311874976677
model_share_of_market,traficom_model_context,0.32630216621916847,-0.10933181849954922,0.11832173546863486,0.000802422135649706
brand_share_over_200k_km,traficom_brand_context,0.29737926782187124,-0.07830692438327512,0.06926383241028816,0.0007312967301090321
model_median_power_kw,traficom_model_context,0.16846804987339437,-0.002838515781385828,0.03591419047646923,0.00041428622412929925
brand_is_known_model_family,traficom_brand_context,0.16663931130068388,-0.0018580858571650542,0.03097036595119789,0.0004097891031691101
model_ev_share,traficom_model_context,0.1544342268390658,-0.001884262228165725,0.030812442798633127,0.00037977511321325274
model_median_engine_cc,traficom_model_context,0.13650647523217363,0.014365141591607428,0.03579242939911637,0.0003356882936297829
model_firstreg_year_span,traficom_model_context,0.0,0.0,0.0,0.0
brand_firstreg_year_span,traficom_brand_context,0.0,0.0,0.0,0.0
