feature_name,feature_value,shap_value,abs_shap_value
subcategory,gear box 6 speed,-4.908293237531974e+18,4.908293237531974e+18
part_name,"Gear Box 6 Speed - , e-",-3.3509601890735616e+18,3.3509601890735616e+18
oem_number,FI10331575A,-8.771571843733747e+17,8.771571843733747e+17
year_mid,2016.5,-5.414993109433786e+17,5.414993109433786e+17
year_end,2020,-5.106112820373178e+17,5.106112820373178e+17
quality_grade,A2,-1.4091967073355515e+17,1.4091967073355515e+17
category,gear box / drive axle / middle axle,-6.444993457129622e+16,6.444993457129622e+16
mileage,80000.0,-3.4575113023651316e+16,3.4575113023651316e+16
year_start,2013,2.034256478079174e+16,2.034256478079174e+16
mileage_missing_flag,0,-7537648063772577.0,7537648063772577.0
observations_so_far,3.0,-5558740278424772.0,5558740278424772.0
days_since_first_seen_so_far,6.0,2045994779981498.5,2045994779981498.5
