model_type,selection_mode,feature_variant,config_name,target_mode,feature_count,best_iteration_mean,cv_mean_MAE,cv_std_MAE,cv_mean_RMSE,cv_std_RMSE,cv_mean_R2,cv_std_R2,cv_mean_median_AE,cv_std_median_AE,cv_folds
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets_without_oem_number,refinement_anchor,raw,65,1942.25,40.35827867398239,4.466572413020048,87.11916851456989,15.470307069774806,0.97893395481482,0.005533167211267798,16.780151748657225,0.9885124931110999,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets_without_oem_number,refinement_search_023,raw,65,1964.75,40.46689547506335,6.128020069514196,89.13192687029381,25.065459421779018,0.9773269907929564,0.010520823279961967,16.10163879394531,1.1256262388950165,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets_without_oem_number,refinement_search_001,raw,65,1830.25,40.53255802749833,5.4608046036493025,89.61470915147179,21.309553638211764,0.9774637061907935,0.008548849722301162,16.28682022094727,1.0142351661834894,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets_without_oem_number,refinement_search_014,raw,65,1421.0,40.82928111337499,5.157030586138238,88.0137735215718,22.272035558869735,0.9781452591831152,0.009090791414736248,17.48900680541992,0.6447850616094416,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets_without_oem_number,refinement_search_020,raw,65,1868.5,41.30853930764039,4.606357803304986,88.41244237844572,20.060013278684302,0.9777826807340634,0.008419609728242466,16.541026306152347,0.19170524348249782,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets_without_oem_number,refinement_search_006,raw,65,1913.0,41.45209752470116,5.500069032504451,89.29782433999866,23.664408313709686,0.9772809476140586,0.010011704895831414,17.890044021606442,1.188165527049164,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets_without_oem_number,refinement_search_008,raw,65,1647.5,41.873571951126834,4.370502870682435,85.59789130432402,17.345301528278434,0.9795222407465454,0.006679079481199609,17.02194900512695,1.0036443325082243,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets_without_oem_number,refinement_search_018,raw,65,1542.5,42.03387074844872,6.074304944487768,89.78193800099078,24.221479998097077,0.9770225357257556,0.01032584155295063,18.0319778442383,0.7663241916672537,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets_without_oem_number,refinement_search_019,raw,65,2052.75,42.51110718376016,5.075069850811791,89.40875073537933,19.2806624225651,0.9773069663061715,0.008174767199307983,18.383350753784168,0.3154734241966469,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets_without_oem_number,refinement_search_003,raw,65,1797.25,43.36964975180704,5.38782141737318,92.68630427044502,18.47462529088676,0.9758961196529092,0.007742753212689137,18.324040222167966,0.9402497892321999,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets_without_oem_number,refinement_search_024,raw,65,1963.0,43.38512102492886,5.866550019725283,92.67317474781323,20.36739727829603,0.9759157254660478,0.008578643982986602,18.415481185913087,0.5301390009115399,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets_without_oem_number,refinement_search_009,raw,65,1905.25,43.81694390130017,5.129235428143943,92.46454826976802,18.772324485621688,0.9762625243057936,0.007507542131142318,18.439608764648433,0.5944639486021668,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets_without_oem_number,refinement_search_005,raw,65,1785.0,44.149491834049556,5.037472804778204,90.74150815978041,19.654036072336076,0.9768905857468257,0.007994727162178326,18.87175216674805,1.3380601882377614,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets_without_oem_number,refinement_search_015,raw,65,1267.75,44.566491835311496,5.877081223835953,92.15510584555605,23.309746374319563,0.9756707492456427,0.010518255213676272,18.467665100097655,0.9908584538073186,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets_without_oem_number,refinement_search_021,raw,65,1779.5,44.751667903429656,5.3012459240787715,92.40825320076331,17.746313206585207,0.9763485961872576,0.006930430693915901,19.66669502258301,0.5851509428203151,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets_without_oem_number,refinement_search_011,raw,65,2234.0,45.532013780435165,5.987108963895165,93.87893709521991,19.994866180893148,0.975431157192794,0.00833956469486049,19.546009063720696,0.5304460922955887,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets_without_oem_number,refinement_search_022,raw,65,1465.0,45.56227194504262,6.158072700152054,92.52988998283377,22.67868068149008,0.9751966211742139,0.010840474209578677,20.625284957885736,0.6922502557781993,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets_without_oem_number,refinement_search_016,raw,65,2233.75,46.04383041099635,6.354767891620013,94.52464324440683,24.719339392552122,0.9743770748476107,0.011305643467957552,20.337394332885744,1.4987657383104074,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets_without_oem_number,refinement_search_007,raw,65,1441.75,46.21193289038456,6.432850602642052,96.94418307476363,23.2837113836112,0.9725641912507266,0.012523955999584814,19.476111602783202,1.7486558580231804,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets_without_oem_number,refinement_search_012,raw,65,1569.75,64.91789559729823,14.85058991020118,190.7454618619683,59.21804349044825,0.893259192079025,0.05085483171031714,17.302396011352542,1.5796988100640696,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets_without_oem_number,refinement_search_010,raw,65,1031.5,66.48812383113795,18.448885892294054,188.64451025533052,61.68708466351438,0.8946632234438102,0.05244800232236458,19.103456878662108,4.070703247155705,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets_without_oem_number,refinement_search_002,raw,65,782.5,67.12733655616027,18.83449048026727,196.2767060228017,69.6565350709523,0.8851828842603169,0.0621990961643775,17.025317764282224,2.8101812720772195,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets_without_oem_number,refinement_search_017,raw,65,1016.0,67.99032044279843,17.882238431150835,199.86835785088732,78.50099516646091,0.8763382374833177,0.08033338778087522,17.594387435913042,0.282747393099769,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets_without_oem_number,refinement_search_013,raw,65,924.75,68.65976488216721,18.11085643311582,188.28531704148713,69.44585776818201,0.8921129897798127,0.06384627182441352,19.942686462402342,2.570792610239248,4
xgboost,strict_part_identity_grouped_cv,trusted_recommended_features_without_date_offsets_without_oem_number,refinement_search_004,raw,65,1508.25,69.18803470457615,18.345872232849818,204.3159316934567,79.96437514981737,0.8714091614467239,0.0784998602789772,19.55610847473144,0.6136507814162467,4
